City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
0,Mataura,NZ,55.47,few clouds,-46.1927,168.8643,Ellie's Villa
1,Airai,TL,70.25,overcast clouds,-8.9266,125.4092,
6,Kaitangata,NZ,59.04,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
7,East London,ZA,68.86,light rain,-33.0153,27.9116,Tu Casa
8,Cape Town,ZA,64.89,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
9,Najran,SA,66.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
10,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
15,Dawei,MM,74.21,broken clouds,14.0833,98.2,Hotel Dawei
23,Cidreira,BR,73.0,few clouds,-30.1811,-50.2056,Hotel Castelo
34,Lanquin,GT,74.93,clear sky,15.5667,-89.9667,Yaxlik River Lodge
36,Bluff,NZ,55.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
41,Tsiroanomandidy,MG,66.96,broken clouds,-18.7667,46.0333,Hotel Ravinala
42,Guerrero Negro,MX,63.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
47,Kariba,ZW,69.96,light rain,-16.5167,28.8,Caribbea Bay Hotel
52,Tambura,SS,72.57,overcast clouds,5.6,27.4667,Rikito Lodge
58,Cuamba,MZ,68.92,overcast clouds,-14.8031,36.5372,Hotel Vision
61,Ponta Do Sol,PT,66.7,overcast clouds,32.6667,-17.1,Hotel do Campo
62,Ribeira Grande,PT,59.18,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
67,Sao Filipe,CV,73.13,clear sky,14.8961,-24.4956,Hotel Xaguate
68,Port Lincoln,AU,70.88,clear sky,-34.7333,135.8667,Port Lincoln Hotel
69,Talara,PE,71.71,few clouds,-4.5772,-81.2719,Hostal Oro Negro
70,Lebu,CL,57.79,broken clouds,-37.6167,-73.65,Hostal Las Lilas
72,Necochea,AR,59.04,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
77,Pacific Grove,US,66.4,clear sky,36.6177,-121.9166,Lovers Point Inn
82,Mar Del Plata,AR,69.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
84,Feijo,BR,72.3,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
86,Chimoio,MZ,66.27,overcast clouds,-19.1164,33.4833,Predio Livraria Ahmed
91,Codrington,AU,70.63,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
93,Te Anau,NZ,61.32,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
94,Tumaco,CO,75.0,light rain,1.7986,-78.8156,Unión Victoria
99,Bredasdorp,ZA,67.32,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
101,Taoudenni,ML,65.43,few clouds,22.6783,-3.9836,
102,Fortuna,US,55.47,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
104,Yarada,IN,71.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
105,Tocopilla,CL,71.02,clear sky,-22.092,-70.1979,Hotel Galvarino
