City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
0,Mataura,NZ,2022-02-05 00:51:09,-46.1927,168.8643,55.47,40,20,3.2,few clouds
1,Airai,TL,2022-02-05 00:51:10,-8.9266,125.4092,70.25,70,100,1.63,overcast clouds
2,Atasu,KZ,2022-02-05 00:51:10,48.6814,71.6433,6.51,79,5,9.86,clear sky
3,Nyuzen,JP,2022-02-05 00:51:11,36.9333,137.5,34.5,86,100,15.37,snow
4,Rikitea,PF,2022-02-05 00:50:16,-23.1203,-134.9692,79.03,67,5,5.95,clear sky
5,Chandvad,IN,2022-02-05 00:51:11,20.3333,74.25,54.66,46,100,2.59,overcast clouds
6,Kaitangata,NZ,2022-02-05 00:51:12,-46.2817,169.8464,59.04,49,28,7.29,scattered clouds
7,East London,ZA,2022-02-05 00:51:12,-33.0153,27.9116,68.86,85,100,7.43,light rain
8,Cape Town,ZA,2022-02-05 00:51:12,-33.9258,18.4232,64.89,68,0,5.01,clear sky
9,Najran,SA,2022-02-05 00:51:13,17.4924,44.1277,66.85,71,4,8.57,clear sky
10,Pisco,PE,2022-02-05 00:47:28,-13.7,-76.2167,68.05,83,0,18.41,clear sky
11,Lasa,IT,2022-02-05 00:51:14,46.6166,10.7002,38.66,83,14,6.2,few clouds
12,Kijang,KR,2022-02-05 00:51:14,35.2442,129.2139,28.13,46,8,14.58,clear sky
13,Saint-Georges,GD,2022-02-05 00:51:14,12.0564,-61.7485,76.68,78,20,10.36,few clouds
14,Arraial Do Cabo,BR,2022-02-05 00:51:15,-22.9661,-42.0278,76.26,87,100,21.36,overcast clouds
15,Dawei,MM,2022-02-05 00:51:15,14.0833,98.2,74.21,83,82,3.56,broken clouds
16,Hilo,US,2022-02-05 00:48:34,19.7297,-155.09,78.53,77,100,6.91,overcast clouds
17,Albany,US,2022-02-05 00:48:04,42.6001,-73.9662,20.26,86,100,1.99,overcast clouds
18,Essex,US,2022-02-05 00:51:16,40.7834,-74.2163,34.09,90,100,4.0,light snow
19,Busselton,AU,2022-02-05 00:51:16,-33.65,115.3333,83.26,32,2,4.45,clear sky
20,Punta Arenas,CL,2022-02-05 00:51:17,-53.15,-70.9167,51.91,62,0,3.44,clear sky
21,Itarema,BR,2022-02-05 00:51:18,-2.9248,-39.9167,79.14,80,62,10.09,broken clouds
22,Ushuaia,AR,2022-02-05 00:50:26,-54.8,-68.3,51.46,62,0,11.5,clear sky
23,Cidreira,BR,2022-02-05 00:46:19,-30.1811,-50.2056,73.0,91,24,4.97,few clouds
24,Progreso,MX,2022-02-05 00:51:18,21.2833,-89.6667,77.11,86,63,10.94,broken clouds
25,Yellowknife,CA,2022-02-05 00:51:19,62.456,-114.3525,-26.72,80,40,2.3,scattered clouds
26,Puerto Ayora,EC,2022-02-05 00:51:19,-0.7393,-90.3518,75.54,92,70,3.0,broken clouds
27,Aswan,EG,2022-02-05 00:45:16,24.0934,32.907,51.1,50,0,5.75,clear sky
28,Lashio,MM,2022-02-05 00:51:20,22.9333,97.75,50.14,65,0,1.12,clear sky
29,Butaritari,KI,2022-02-05 00:50:22,3.0707,172.7902,82.45,77,18,18.81,few clouds
30,Jamestown,US,2022-02-05 00:47:20,42.097,-79.2353,19.09,51,100,3.44,overcast clouds
31,Muisne,EC,2022-02-05 00:51:21,0.6,-80.0333,76.84,81,87,4.36,overcast clouds
32,Provideniya,RU,2022-02-05 00:51:21,64.3833,-173.3,4.3,60,3,10.65,clear sky
33,Vardo,NO,2022-02-05 00:51:22,70.3705,31.1107,21.4,93,100,33.64,snow
34,Lanquin,GT,2022-02-05 00:51:22,15.5667,-89.9667,74.93,98,10,3.29,clear sky
35,Khatanga,RU,2022-02-05 00:47:29,71.9667,102.5,-36.27,100,86,2.51,overcast clouds
36,Bluff,NZ,2022-02-05 00:51:23,-46.6,168.3333,55.8,57,65,6.06,broken clouds
37,Avarua,CK,2022-02-05 00:51:23,-21.2078,-159.775,82.45,83,40,13.8,light rain
38,Port-Gentil,GA,2022-02-05 00:51:24,-0.7193,8.7815,79.52,80,46,8.57,scattered clouds
39,Kavieng,PG,2022-02-05 00:42:30,-2.5744,150.7967,83.61,69,100,4.99,overcast clouds
40,Atuona,PF,2022-02-05 00:51:24,-9.8,-139.0333,78.39,77,30,15.57,scattered clouds
41,Tsiroanomandidy,MG,2022-02-05 00:51:25,-18.7667,46.0333,66.96,97,55,4.88,broken clouds
42,Guerrero Negro,MX,2022-02-05 00:50:06,27.9769,-114.0611,63.14,27,0,7.2,clear sky
43,Tura,IN,2022-02-05 00:51:25,25.5198,90.2201,52.02,97,28,1.7,scattered clouds
44,Tasiilaq,GL,2022-02-05 00:48:40,65.6145,-37.6368,24.96,73,100,40.26,overcast clouds
45,Upernavik,GL,2022-02-05 00:51:26,72.7868,-56.1549,1.2,96,100,6.15,overcast clouds
